Seg,Time,Emissions,Lower,Upper,Errors (%)
1,2021/08/03 15:53:00,140.85,76.46,211.86,42.7
3,2021/08/03 16:11:00,344.58,189.55,512.42,41.2
5,2021/08/03 16:30:00,472.22,280.28,682.46,37.1
7,2021/08/03 16:49:00,299.01,197.33,415.01,28.4
9,2021/08/03 17:06:00,694.32,537.16,859.69,16.7
11,2021/08/03 17:24:00,648.93,521.87,791.07,11.2
13,2021/08/03 17:41:00,243.47,166.76,326.58,27.3
15,2021/08/03 17:59:00,730.75,494.07,987.37,29.6
17,2021/08/03 18:15:00,385.89,288.5,487.62,23.2
19,2021/08/03 18:35:00,NA,NA,NA,34.4
21,2021/08/03 18:53:00,525.67,342.93,727.14,30.1
23,2021/08/03 19:11:00,173.21,118.33,231.18,29.2
